Animal_ID,rep,cage,sex,hour,day,body_temp,weight,delta_temp,delta_weight,H2O,trt
1170,1,0,Female,0,1,36.5,24.171,0,0,yes,F_yes
1165,1,1,Female,0,1,37.3,20.189,0,0,yes,F_yes
1156,1,2,Female,0,1,37,18.067,0,0,yes,F_yes
1171,1,3,Female,0,1,36.4,17.288,0,0,no,F_no
1109,1,4,Female,0,1,36.9,20.037,0,0,no,F_no
1164,1,5,Female,0,1,36.6,18.16,0,0,no,F_no
1170,1,0,Female,24,2,36,24.245,-0.5,0.074,yes,F_yes
1165,1,1,Female,24,2,36.2,20.245,-1.1,0.056,yes,F_yes
1156,1,2,Female,24,2,36,17.642,-1,-0.425,yes,F_yes
1171,1,3,Female,24,2,35.5,14.763,-0.9,-2.525,no,F_no
1109,1,4,Female,24,2,35.3,18.186,-1.6,-1.851,no,F_no
1164,1,5,Female,24,2,35.4,15.506,-1.2,-2.654,no,F_no
1170,1,0,Female,48,3,36.5,24.698,0.5,0.453,yes,F_yes
1165,1,1,Female,48,3,36.1,20.556,-0.1,0.311,yes,F_yes
1156,1,2,Female,48,3,36.3,17.876,0.3,0.234,yes,F_yes
1171,1,3,Female,48,3,34.8,13.241,-0.7,-1.522,no,F_no
1109,1,4,Female,48,3,34.7,17.007,-0.6,-1.179,no,F_no
1164,1,5,Female,48,3,35.6,14.132,0.2,-1.374,no,F_no
1170,1,0,Female,72,4,36.3,24.625,-0.2,-0.073,yes,F_yes
1165,1,1,Female,72,4,37,20.503,0.9,-0.053,yes,F_yes
1156,1,2,Female,72,4,36.5,17.823,0.2,-0.053,yes,F_yes
1171,1,3,Female,72,4,34.5,12.248,-0.3,-0.993,no,F_no
1109,1,4,Female,72,4,35.4,15.895,0.7,-1.112,no,F_no
1164,1,5,Female,72,4,34.8,13.094,-0.8,-1.038,no,F_no
1168,2,0,Female,0,1,36.1,15.885,0,0,yes,F_yes
1155,2,1,Female,0,1,36.1,17.137,0,0,yes,F_yes
1010,2,2,Female,0,1,36.3,18.747,0,0,yes,F_yes
1154,2,3,Female,0,1,36.3,22.006,0,0,no,F_no
1151,2,4,Female,0,1,36.1,16.787,0,0,no,F_no
1152,2,5,Female,0,1,36.2,22.487,0,0,no,F_no
1168,2,0,Female,24,2,35.6,15.677,-0.5,-0.208,yes,F_yes
1155,2,1,Female,24,2,35.8,17.77,-0.3,0.633,yes,F_yes
1010,2,2,Female,24,2,36,19.333,-0.3,0.586,yes,F_yes
1154,2,3,Female,24,2,36.2,20.04,-0.1,-1.966,no,F_no
1151,2,4,Female,24,2,35.4,15.255,-0.7,-1.532,no,F_no
1152,2,5,Female,24,2,35.5,19.37,-0.7,-3.117,no,F_no
1168,2,0,Female,48,3,35.6,15.496,0,-0.181,yes,F_yes
