StartTime,StartDate,Animal,VO2,SD_VO2,VCO2,SD_VCO2,Deg_C,delta_O2,deltaCO2,deltaH2O,BP,H2O_WVP,CO2,SS4_FR,H2Oml,SD_H2Oml,H2Omg,SD_H2Omg
09:41:09,8/9/2021,5.833333E-02,0.2622855,1.393096E-02,0.2482322,1.674987E-02,32.48797,1.421022E-04,1.360119E-04,2.97349E-03,102.0502,0.9002411,6.391708E-02,1841.249,5.458943,0.5591701,4.530923,0.4641111
09:53:09,8/9/2021,5.833333E-02,0.1526779,2.799901E-02,0.1622245,9.984197E-03,32.52298,8.473421E-05,8.887256E-05,2.798803E-03,102.0489,0.8952234,5.702649E-02,1841.567,5.13962,0.1787862,4.265884,0.1483925
10:01:09,8/9/2021,5.833333E-02,0.1729525,0.0148182,0.1603815,7.36367E-03,32.5357,9.329319E-05,8.784232E-05,2.815973E-03,102.0529,0.882038,5.604304E-02,1841.633,5.171351,4.875625E-02,4.292222,4.046766E-02
10:37:09,8/9/2021,5.833333E-02,0.1863318,2.293244E-02,0.1854842,9.473926E-03,32.5109,1.019848E-04,1.016196E-04,2.560247E-03,102.0109,0.8538794,5.678918E-02,1840.679,4.700445,0.2094741,3.90137,0.1738635
10:53:09,8/9/2021,5.833333E-02,0.1251256,1.674475E-02,0.1517502,8.510111E-03,32.42799,7.165621E-05,8.3198E-05,2.468911E-03,102.0049,0.8473209,5.471816E-02,1839.381,4.530002,5.290587E-02,3.759902,4.391193E-02
11:33:09,8/9/2021,5.833333E-02,0.1035589,1.359645E-02,0.1460847,7.125509E-03,32.45103,6.157458E-05,7.998288E-05,2.215562E-03,102.0287,0.8073621,5.477449E-02,1841.225,4.070208,3.892207E-02,3.378273,3.230529E-02
11:57:09,8/9/2021,5.833333E-02,0.5201087,0.089397,0.4455299,6.113723E-02,32.44403,2.758468E-04,2.436134E-04,2.414136E-03,101.9948,0.8321815,7.132202E-02,1843.583,4.439888,0.0656574,3.685107,5.449569E-02
12:21:09,8/9/2021,5.833333E-02,0.1604618,1.732931E-02,0.1505126,9.787304E-03,32.4546,8.691078E-05,8.259167E-05,2.203642E-03,101.9869,0.8039904,5.528175E-02,1836.807,4.038703,0.0396724,3.352123,3.292811E-02
12:53:09,8/9/2021,5.833333E-02,0.1778798,2.030577E-02,0.1801271,1.075853E-02,32.46375,9.75122E-05,9.849147E-05,2.11211E-03,101.9923,0.7850377,5.635133E-02,1843.143,3.884635,4.356943E-02,3.224247,3.616264E-02
13:11:10,8/9/2021,5.833333E-02,0.2622855,1.393096E-02,0.2482322,1.674987E-02,32.48797,1.421022E-04,1.360119E-04,2.97349E-03,102.0502,0.9002411,6.391708E-02,1841.249,5.458943,0.5591701,4.530923,0.4641112
13:23:10,8/9/2021,5.833333E-02,0.1526779,2.799901E-02,0.1622245,9.984188E-03,32.52298,8.473421E-05,8.887256E-05,2.798802E-03,102.0489,0.8952234,5.702649E-02,1841.567,5.139619,0.1787864,4.265884,0.1483927
