StartTime,StartDate,Animal,VO2,SD_VO2,VCO2,SD_VCO2,Deg_C,delta_O2,deltaCO2,deltaH2O,BP,H2O_WVP,CO2,SS4_FR,H2Oml,SD_H2Oml,H2Omg,SD_H2Omg
08:47:33,7/26/2021,5.833333E-02,0.4729994,2.809403E-02,0.4477305,2.712901E-02,32.41084,2.620774E-04,2.508918E-04,3.519503E-03,100.7256,0.9708118,7.682376E-02,1801.896,6.319268,5.556909E-02,5.244993,4.612239E-02
08:59:33,7/26/2021,5.833333E-02,0.252246,1.551403E-02,0.2839229,1.028444E-02,32.41003,1.448967E-04,1.589105E-04,3.439404E-03,100.7311,0.9598213,6.515616E-02,1803.935,6.183032,0.151244,5.131917,0.1255325
09:07:33,7/26/2021,5.833333E-02,0.2064928,2.502204E-02,0.254568,1.019184E-02,32.36943,1.209095E-04,1.421253E-04,3.359134E-03,100.7246,0.9432353,6.298993E-02,1808.184,6.053232,0.4819243,5.024182,0.3999971
09:43:33,7/26/2021,5.833333E-02,0.2745196,1.626126E-02,0.2997163,1.189403E-02,32.45712,1.564816E-04,1.676261E-04,3.123979E-03,100.725,0.9155117,6.502987E-02,1804.463,5.619334,0.1804224,4.664047,0.1497506
09:59:33,7/26/2021,5.833333E-02,0.2408523,2.423832E-02,0.2608412,9.65681E-03,32.37387,1.369866E-04,1.458206E-04,2.986285E-03,100.7243,0.8934309,6.255119E-02,1804.841,5.373614,3.790915E-02,4.460099,3.146459E-02
10:39:33,7/26/2021,5.833333E-02,0.2602965,2.044916E-02,0.2659676,9.913915E-03,32.35902,1.46124E-04,1.486298E-04,2.849828E-03,100.7372,0.879627,6.270787E-02,1805.258,5.129908,3.240128E-02,4.257823,0.026893
11:03:33,7/26/2021,5.833333E-02,0.226946,1.783736E-02,0.2535884,1.132659E-02,32.4289,1.29998E-04,1.417771E-04,2.725265E-03,100.7433,0.8622386,0.0618992,1804.111,4.903305,8.423462E-02,4.069743,6.991471E-02
11:27:33,7/26/2021,5.833333E-02,0.2107382,0.0151146,0.2462419,9.535289E-03,32.4024,1.218731E-04,1.375604E-04,2.611376E-03,100.7373,0.8486235,6.141097E-02,1805.371,4.702123,4.020388E-02,3.902762,3.336928E-02
11:59:33,7/26/2021,5.833333E-02,0.2443939,2.368384E-02,0.2776559,0.0160547,32.3452,1.404489E-04,1.551386E-04,2.541343E-03,100.7279,0.8389949,6.260188E-02,1804.787,4.574984,0.167598,3.797236,0.1391063
12:17:34,7/26/2021,5.833333E-02,0.4729994,2.809403E-02,0.4477305,2.712901E-02,32.41084,2.620774E-04,2.508918E-04,3.519503E-03,100.7256,0.9708118,7.682376E-02,1801.896,6.319268,5.556871E-02,5.244992,4.612209E-02
12:29:34,7/26/2021,5.833333E-02,0.252246,1.551403E-02,0.2839229,1.028445E-02,32.41003,1.448967E-04,1.589105E-04,3.439404E-03,100.7311,0.9598213,6.515616E-02,1803.935,6.183032,0.151244,5.131917,0.1255325
12:37:34,7/26/2021,5.833333E-02,0.2064928,2.502204E-02,0.254568,1.019183E-02,32.36943,1.209095E-04,1.421253E-04,3.359134E-03,100.7246,0.9432353,6.298993E-02,1808.184,6.053232,0.4819243,5.024183,0.3999971
13:13:34,7/26/2021,5.833333E-02,0.2745196,1.626126E-02,0.2997163,1.189402E-02,32.45712,1.564816E-04,1.676261E-04,3.123979E-03,100.725,0.9155117,6.502987E-02,1804.463,5.619334,0.1804224,4.664047,0.1497506
13:29:34,7/26/2021,5.833333E-02,0.2408528,2.423843E-02,0.2608412,9.656811E-03,32.37387,1.369869E-04,1.458206E-04,2.986285E-03,100.7243,0.8934309,6.255119E-02,1804.841,5.373614,3.790915E-02,4.460099,3.146459E-02
14:09:34,7/26/2021,5.833333E-02,0.2602965,2.044916E-02,0.2659676,9.913903E-03,32.35902,1.46124E-04,1.486298E-04,2.849828E-03,100.7372,0.879627,6.270787E-02,1805.258,5.129908,3.240129E-02,4.257823,0.026893
14:33:34,7/26/2021,5.833333E-02,0.226946,1.783736E-02,0.2535884,0.0113266,32.4289,1.29998E-04,1.417771E-04,2.725265E-03,100.7433,0.8622386,0.0618992,1804.111,4.903305,8.423483E-02,4.069743,0.0699149
14:57:34,7/26/2021,5.833333E-02,0.2107382,0.0151146,0.2462419,9.535283E-03,32.4024,1.218731E-04,1.375604E-04,2.611376E-03,100.7373,0.8486235,6.141097E-02,1805.371,4.702123,4.020361E-02,3.902762,3.336905E-02
15:29:34,7/26/2021,5.833333E-02,0.2329209,2.199337E-02,0.2669385,1.379275E-02,32.3452,1.341271E-04,1.491507E-04,2.516758E-03,100.7279,0.8389949,6.260188E-02,1804.787,4.530838,0.1748392,3.760595,0.1451165
15:47:35,7/26/2021,5.833333E-02,0.3123836,0.0147278,0.352694,1.744419E-02,32.39034,1.79144E-04,1.969517E-04,2.437624E-03,100.7257,0.826524,0.0671644,1805.724,4.390936,6.126236E-02,3.644477,5.084776E-02
15:59:35,7/26/2021,5.833333E-02,0.2404891,1.924551E-02,0.2706155,1.252917E-02,32.36157,1.378094E-04,1.511159E-04,2.452648E-03,100.7271,0.8227867,6.236601E-02,1805.645,4.417654,0.2077724,3.666652,0.1724511
16:07:35,7/26/2021,5.833333E-02,0.2216363,1.296697E-02,0.2579707,1.212878E-02,32.46232,1.280613E-04,1.44113E-04,2.365367E-03,100.7298,0.8185599,6.182135E-02,1804.805,4.258874,3.393339E-02,3.534866,2.816474E-02
16:43:35,7/26/2021,5.833333E-02,0.2329265,1.265994E-02,0.236617,8.18834E-03,32.36345,1.304199E-04,1.320424E-04,2.294986E-03,100.7248,0.8128648,6.077479E-02,1806.533,4.136405,4.942854E-02,3.433216,4.102575E-02
16:59:35,7/26/2021,5.833333E-02,0.2654677,1.515961E-02,0.2636667,0.0128671,32.34549,1.480162E-04,1.472218E-04,2.312484E-03,100.7251,0.8081657,6.215904E-02,1805.422,4.165307,3.325737E-02,3.457205,2.760359E-02
17:39:35,7/26/2021,5.833333E-02,0.3416145,1.715373E-02,0.355137,9.943575E-03,32.36972,1.92225E-04,1.981911E-04,2.173524E-03,100.7181,0.7937929,6.730023E-02,1806.128,3.917073,3.209382E-02,3.25117,2.663788E-02
18:03:35,7/26/2021,5.833333E-02,0.232894,1.931776E-02,0.2436476,9.654721E-03,32.3491,1.314446E-04,1.36192E-04,2.121049E-03,100.721,0.7909836,6.102648E-02,1803.166,3.816454,3.182277E-02,3.167656,2.641293E-02
18:27:35,7/26/2021,5.833333E-02,0.2321433,1.340768E-02,0.2531002,7.877907E-03,32.44247,1.32065E-04,1.413174E-04,2.054977E-03,100.7088,0.7786558,6.137287E-02,1805.021,3.701602,4.125856E-02,3.07233,0.0342446
18:59:35,7/26/2021,5.833333E-02,0.2533961,3.196089E-02,0.2492858,1.337579E-02,32.3535,1.411751E-04,1.393564E-04,2.244256E-03,100.6912,0.8097291,0.0624482,1803.326,4.038002,0.0634094,3.351541,5.262983E-02
19:17:36,7/26/2021,5.833333E-02,0.2913313,2.502622E-02,0.3020674,1.448906E-02,32.3365,1.638435E-04,1.685908E-04,2.218167E-03,100.7035,0.8016301,6.558365E-02,1806.151,3.99739,0.1407691,3.317834,0.1168384
19:29:36,7/26/2021,5.833333E-02,0.3905261,2.460112E-02,0.407658,1.931942E-02,32.36993,2.203594E-04,2.279338E-04,2.340722E-03,100.7078,0.814508,7.156714E-02,1803.141,4.210733,4.493938E-02,3.494908,3.729971E-02
19:37:36,7/26/2021,5.833333E-02,0.3180303,2.223728E-02,0.3165787,1.218718E-02,32.3854,1.772364E-04,1.765926E-04,2.332546E-03,100.7245,0.8135884,6.634558E-02,1807.281,4.205677,9.559049E-02,3.490712,7.934014E-02
