StartTime,StartDate,Animal,VO2,SD_VO2,VCO2,SD_VCO2,Deg_C,delta_O2,deltaCO2,deltaH2O,BP,H2O_WVP,CO2,SS4_FR,H2Oml,SD_H2Oml,H2Omg,SD_H2Omg
08:32:38,9/27/2021,5.833333E-02,0.6015897,0.106622,0.5426843,5.720821E-02,32.40535,3.298598E-04,3.037837E-04,2.555989E-03,100.836,0.8411804,0.0827723,1801.447,4.592644,5.206136E-02,3.811895,4.321089E-02
08:44:38,9/27/2021,5.833333E-02,0.4322755,5.946188E-02,0.413378,3.893604E-02,32.40725,2.398483E-04,2.314872E-04,2.573549E-03,100.8158,0.8408016,7.260969E-02,1800.919,4.622666,0.0716178,3.836813,5.944278E-02
08:52:38,9/27/2021,5.833333E-02,0.5345213,2.549117E-02,0.4169253,1.459306E-02,32.47092,2.852092E-04,2.331891E-04,2.499098E-03,100.8139,0.8259808,7.231805E-02,1802.532,4.49339,2.620437E-02,3.729513,0.0217496
09:28:38,9/27/2021,5.833333E-02,0.1378477,1.801843E-02,0.1572065,1.216742E-02,32.32935,7.934719E-05,8.79049E-05,2.354006E-03,100.7764,0.8117334,5.769289E-02,1802.955,4.234088,0.1972486,3.514293,0.1637164
09:44:38,9/27/2021,5.833333E-02,0.4412817,7.700236E-02,0.3212345,4.271272E-02,32.44439,2.326493E-04,1.795788E-04,2.374151E-03,100.7508,0.8167751,6.637388E-02,1803.284,4.271033,7.193448E-02,3.544958,5.970558E-02
10:24:38,9/27/2021,5.833333E-02,0.2911809,3.015324E-02,0.2658427,2.066832E-02,32.4359,1.600857E-04,1.488546E-04,2.205109E-03,100.6577,0.7845051,6.343668E-02,1799.865,3.960082,3.687479E-02,3.286868,3.060608E-02
10:48:38,9/27/2021,5.833333E-02,0.1581088,0.1046951,0.2199444,1.099236E-02,32.43302,9.583682E-05,1.232434E-04,2.04715E-03,100.6376,0.7685503,6.105176E-02,1798.551,3.674379,0.3549279,3.049735,0.2945901
11:12:38,9/27/2021,5.833333E-02,0.1085817,1.728866E-02,0.1423029,1.044431E-02,32.45915,6.471425E-05,7.963246E-05,1.980203E-03,100.6333,0.7611207,0.0566504,1800.77,3.55876,6.653496E-02,2.953771,5.522405E-02
11:44:38,9/27/2021,5.833333E-02,0.3193436,0.0199243,0.2838784,1.249166E-02,32.4875,1.746247E-04,1.589257E-04,1.994657E-03,100.5976,0.7568114,6.421947E-02,1799.677,3.582544,3.994619E-02,2.973512,3.315534E-02
12:02:39,9/27/2021,5.833333E-02,0.6015897,0.106622,0.5426843,5.720829E-02,32.40535,3.298598E-04,3.037837E-04,2.555989E-03,100.836,0.8411804,0.0827723,1801.447,4.592644,5.206136E-02,3.811895,4.321089E-02
12:14:39,9/27/2021,5.833333E-02,0.4322755,5.946189E-02,0.413378,3.893602E-02,32.40725,2.398483E-04,2.314872E-04,2.573549E-03,100.8158,0.8408016,7.260969E-02,1800.919,4.622666,7.161784E-02,3.836813,5.944281E-02
12:22:39,9/27/2021,5.833333E-02,0.5345207,0.025491,0.4169253,1.459306E-02,32.47092,2.85209E-04,2.331891E-04,2.499098E-03,100.8139,0.8259808,7.231805E-02,1802.532,4.49339,2.620437E-02,3.729513,0.0217496
12:58:39,9/27/2021,5.833333E-02,0.1378477,1.801842E-02,0.1572065,1.216743E-02,32.32935,7.934719E-05,8.79049E-05,2.354006E-03,100.7764,0.8117334,5.769289E-02,1802.955,4.234088,0.197249,3.514293,0.1637166
13:14:39,9/27/2021,5.833333E-02,0.4412818,7.700237E-02,0.3212345,4.271268E-02,32.44439,2.326493E-04,1.795788E-04,2.374151E-03,100.7508,0.8167751,6.637388E-02,1803.284,4.271034,7.193437E-02,3.544958,5.970548E-02
13:54:39,9/27/2021,5.833333E-02,0.2911814,3.015302E-02,0.2658427,2.066832E-02,32.4359,1.600859E-04,1.488546E-04,2.205109E-03,100.6577,0.7845051,6.343668E-02,1799.865,3.960082,3.687467E-02,3.286868,3.060598E-02
14:18:39,9/27/2021,5.833333E-02,0.1581093,0.1046957,0.2199444,1.099235E-02,32.43302,9.583707E-05,1.232434E-04,2.04715E-03,100.6376,0.7685503,6.105176E-02,1798.551,3.674379,0.354928,3.049735,0.2945902
14:42:39,9/27/2021,5.833333E-02,0.1085817,1.728866E-02,0.1423029,1.044431E-02,32.45915,6.471425E-05,7.963245E-05,1.980203E-03,100.6333,0.7611207,0.0566504,1800.77,3.55876,6.653483E-02,2.953771,5.522395E-02
15:14:39,9/27/2021,5.833333E-02,0.3234019,0.0204749,0.2732255,1.312508E-02,32.4875,1.751706E-04,1.529588E-04,1.964425E-03,100.5976,0.7568114,6.421947E-02,1799.677,3.528349,2.958287E-02,2.92853,2.455378E-02
